Drift_ID,Date,Start_Time,End_Time,Duration_Minutes,Activity_Before_Drift,Activity_Type,Task_Difficulty,Task_Importance,Trigger_Type,Specific_Trigger,Distraction_Source,Energy_Level,Mood_Before,Stress_Level,Sleep_Hours_Last_Night,Caffeine/Meal_Status,Location,Noise_Level,Lighting,Temperature_Comfort,Recovery_Time_Minutes,Recovery_Method,Task_Resumed,Productivity_Impact,Cumulative_Drift_Today_Minutes,Focus_Session_Length_Before_Drift,Drift_Category
32,01-10-2025,10:44,10:47,3,Reading,High-Focus,Hard,Low,Internal,Daydreaming,Mental,Medium,Bored,Medium,9.0,Caffeinated,Home,Loud,Dim,Comfortable,10,Ignored Phone,Yes,Minor,15,49,Micro
33,01-10-2025,12:05,12:12,7,Coding,High-Focus,Hard,Low,External,Social Media,Digital,Low,Anxious,High,9.0,Just Ate,Home,Moderate,Dim,Hot,9,Break,Yes,Major,7,30,Major
34,01-10-2025,10:39,10:47,8,Writing,Passive,Medium,High,Internal,Daydreaming,Mental,High,Stressed,Medium,7.0,Caffeinated,Outdoors,Moderate,Bright,Hot,3,Ignored Phone,Yes,None,14,48,Medium
35,01-10-2025,08:45,08:54,9,Reading,Creative,Medium,High,External,Noise,Physical,High,Happy,Medium,4.0,Just Ate,Home,Loud,Dim,Hot,5,Ignored Phone,No,Minor,58,31,Micro
36,01-10-2025,08:19,08:25,6,Meeting,High-Focus,Medium,High,External,Noise,Physical,Medium,Happy,Medium,6.0,Normal,Office,Loud,Normal,Cold,8,Ignored Phone,Yes,None,34,46,Major
37,01-10-2025,10:43,10:58,15,Writing,High-Focus,Easy,Low,External,Noise,Physical,Low,Bored,High,6.0,Normal,cafe,Loud,Dim,Hot,1,Coffee,Yes,Major,23,48,Major
38,01-10-2025,10:46,10:57,11,Meeting,Passive,Medium,High,External,Phone Ping,Digital,Low,Anxious,Low,5.0,Hungry,Outdoors,Loud,Bright,Cold,8,Break,No,None,18,50,Major
39,01-10-2025,19:05,19:12,7,Meeting,High-Focus,Medium,Low,External,Phone Ping,Digital,Low,Stressed,Low,4.0,Caffeinated,Office,Quiet,Bright,Comfortable,6,Ignored Phone,Yes,Major,24,16,Major
40,01-10-2025,17:27,17:28,1,Writing,Repetitive,Medium,Medium,Internal,Daydreaming,Mental,Medium,Stressed,High,4.0,Caffeinated,Office,Moderate,Dim,Comfortable,5,Continued Task,Yes,Minor,42,47,Micro
41,01-10-2025,16:13,16:14,1,Coding,High-Focus,Easy,Medium,External,Noise,Physical,Low,Stressed,Low,9.0,Hungry,Office,Loud,Bright,Cold,5,Continued Task,No,Major,22,10,Major
42,01-10-2025,21:37,21:45,8,Studying,Passive,Easy,High,External,Noise,Physical,Low,Neutral,Low,5.0,Caffeinated,Office,Quiet,Normal,Comfortable,7,Coffee,No,Minor,10,33,Medium
43,01-10-2025,10:13,10:16,3,Studying,Repetitive,Easy,High,External,Person Talking,Physical,Low,Happy,Low,4.0,Caffeinated,Outdoors,Moderate,Dim,Comfortable,5,Ignored Phone,Yes,Minor,55,28,Major
44,01-10-2025,08:35,08:50,15,Coding,Repetitive,Medium,Medium,External,Noise,Physical,High,Anxious,Low,4.0,Just Ate,Home,Loud,Normal,Hot,2,Ignored Phone,No,Major,21,6,Micro
45,01-10-2025,13:49,14:04,15,Reading,Repetitive,Medium,High,External,Noise,Physical,High,Neutral,High,6.0,Just Ate,Office,Loud,Bright,Comfortable,7,Ignored Phone,Yes,Major,56,38,Major
46,01-10-2025,09:27,09:39,12,Meeting,Repetitive,Hard,High,External,Noise,Physical,Low,Anxious,High,8.0,Caffeinated,cafe,Moderate,Normal,Cold,4,Music,Yes,None,7,5,Micro
47,01-10-2025,15:06,15:21,15,Writing,High-Focus,Easy,Medium,Internal,Hunger,Physical,Medium,Happy,High,8.0,Just Ate,Outdoors,Quiet,Dim,Comfortable,4,Coffee,No,Major,10,31,Medium
48,01-10-2025,14:01,14:14,13,Coding,Passive,Hard,Low,External,Phone Ping,Digital,Low,Neutral,Medium,9.0,Normal,Office,Loud,Bright,Cold,8,Music,No,Major,50,15,Major
49,01-10-2025,17:13,17:15,2,Reading,Repetitive,Hard,Medium,Internal,Daydreaming,Mental,High,Stressed,Low,9.0,Caffeinated,Office,Quiet,Normal,Cold,5,Continued Task,Yes,None,29,49,Major
50,01-10-2025,09:31,09:35,4,Reading,High-Focus,Easy,High,External,Noise,Physical,Low,Happy,Medium,5.0,Normal,cafe,Loud,Dim,Cold,2,Break,Yes,Minor,11,29,Major
51,01-10-2025,08:36,08:45,9,Coding,Creative,Medium,High,External,Social Media,Digital,Low,Happy,Medium,4.0,Just Ate,cafe,Quiet,Dim,Cold,5,Break,No,None,11,14,Major
52,01-10-2025,11:49,11:57,8,Coding,High-Focus,Medium,Low,External,Person Talking,Physical,High,Bored,High,8.0,Normal,Home,Loud,Bright,Comfortable,4,Break,No,None,52,19,Micro
53,01-10-2025,09:14,09:22,8,Coding,Passive,Easy,High,External,Noise,Physical,Medium,Stressed,High,8.0,Hungry,Home,Loud,Normal,Cold,4,Ignored Phone,Yes,Minor,58,37,Micro
54,01-10-2025,14:04,14:05,1,Meeting,High-Focus,Medium,High,External,Phone Ping,Digital,Medium,Anxious,High,4.0,Just Ate,Office,Moderate,Normal,Hot,9,Coffee,Yes,Minor,35,49,Major
55,01-10-2025,21:40,21:44,4,Meeting,Creative,Easy,High,External,Phone Ping,Digital,Low,Bored,Low,4.0,Hungry,cafe,Loud,Bright,Cold,9,Continued Task,No,None,7,12,Micro
56,01-10-2025,13:20,13:25,5,Writing,Repetitive,Hard,Low,External,Social Media,Digital,High,Stressed,High,8.0,Hungry,cafe,Moderate,Normal,Hot,6,Music,Yes,Major,11,37,Micro
57,01-10-2025,18:43,18:58,15,Studying,High-Focus,Hard,Medium,External,Social Media,Digital,Low,Happy,Low,4.0,Hungry,Office,Quiet,Dim,Cold,9,Music,No,None,9,9,Medium
58,01-10-2025,19:30,19:43,13,Meeting,Passive,Medium,Low,External,Phone Ping,Digital,High,Bored,Low,7.0,Normal,Home,Loud,Bright,Hot,9,Music,Yes,Major,50,41,Micro
59,01-10-2025,09:04,09:19,15,Meeting,Repetitive,Easy,Medium,External,Person Talking,Physical,High,Happy,Medium,8.0,Just Ate,cafe,Quiet,Normal,Cold,2,Continued Task,Yes,Minor,37,42,Micro
60,01-10-2025,20:39,20:46,7,Meeting,Passive,Medium,Medium,External,Phone Ping,Digital,High,Happy,Low,7.0,Just Ate,Home,Quiet,Bright,Comfortable,8,Music,No,Major,59,44,Medium
61,01-10-2025,17:08,17:19,11,Studying,Passive,Hard,High,External,Social Media,Digital,High,Happy,Medium,4.0,Caffeinated,Outdoors,Moderate,Bright,Hot,6,Coffee,No,None,23,38,Micro
62,01-10-2025,08:31,08:34,3,Meeting,Repetitive,Hard,Low,Internal,Hunger,Physical,Medium,Anxious,Medium,8.0,Normal,Outdoors,Loud,Normal,Hot,3,Coffee,Yes,Major,12,37,Major
63,01-10-2025,11:58,11:59,1,Coding,Creative,Easy,Low,External,Noise,Physical,Medium,Neutral,High,7.0,Hungry,Home,Moderate,Bright,Cold,10,Continued Task,No,None,58,26,Medium
64,01-10-2025,16:36,16:51,15,Reading,High-Focus,Hard,Low,External,Person Talking,Physical,Medium,Happy,Medium,6.0,Just Ate,Outdoors,Loud,Dim,Cold,10,Coffee,Yes,None,26,24,Medium
65,01-10-2025,12:34,12:46,12,Coding,Creative,Hard,Medium,External,Social Media,Digital,Low,Stressed,High,8.0,Hungry,cafe,Moderate,Normal,Hot,8,Coffee,No,Major,16,29,Micro
66,01-10-2025,16:50,16:54,4,Coding,Repetitive,Medium,Low,External,Social Media,Digital,Medium,Bored,High,5.0,Normal,Outdoors,Loud,Normal,Cold,5,Ignored Phone,No,None,18,23,Medium
67,01-10-2025,21:03,21:17,14,Meeting,High-Focus,Hard,Medium,External,Noise,Physical,Low,Happy,Medium,8.0,Just Ate,cafe,Quiet,Bright,Cold,4,Ignored Phone,No,Major,21,15,Micro
68,01-10-2025,21:49,21:52,3,Writing,Creative,Medium,High,External,Noise,Physical,Medium,Happy,Medium,7.0,Caffeinated,Office,Loud,Bright,Cold,4,Break,Yes,None,12,26,Micro
69,01-10-2025,19:14,19:16,2,Meeting,Creative,Easy,High,External,Social Media,Digital,Medium,Anxious,High,4.0,Just Ate,Home,Quiet,Dim,Comfortable,4,Music,No,Minor,56,34,Medium
70,01-10-2025,21:48,21:52,4,Coding,Passive,Medium,High,External,Noise,Physical,High,Neutral,High,7.0,Hungry,cafe,Moderate,Bright,Cold,8,Ignored Phone,No,None,31,50,Major
71,01-10-2025,12:01,12:16,15,Studying,Passive,Hard,Low,External,Noise,Physical,Low,Anxious,Low,4.0,Hungry,Outdoors,Loud,Normal,Comfortable,4,Continued Task,No,None,37,44,Major
72,01-10-2025,17:31,17:39,8,Studying,Passive,Hard,Medium,External,Social Media,Digital,High,Stressed,Low,9.0,Just Ate,Home,Moderate,Dim,Comfortable,7,Ignored Phone,No,Major,45,39,Micro
73,01-10-2025,21:23,21:30,7,Reading,High-Focus,Hard,Low,Internal,Daydreaming,Mental,Low,Neutral,Medium,4.0,Caffeinated,Office,Moderate,Normal,Comfortable,3,Coffee,Yes,Minor,13,17,Micro
74,01-10-2025,10:34,10:47,13,Coding,Creative,Hard,Low,Internal,Daydreaming,Mental,Medium,Neutral,Medium,8.0,Normal,Office,Quiet,Dim,Hot,8,Music,No,None,39,42,Micro
75,01-10-2025,18:30,18:34,4,Writing,Passive,Medium,High,External,Phone Ping,Digital,Low,Bored,Medium,4.0,Normal,Home,Loud,Normal,Cold,3,Continued Task,No,None,43,22,Medium
76,01-10-2025,10:35,10:43,8,Coding,Passive,Easy,Low,External,Noise,Physical,High,Anxious,Medium,7.0,Caffeinated,Home,Quiet,Dim,Cold,4,Continued Task,No,Minor,6,5,Micro
77,01-10-2025,13:25,13:36,11,Reading,Passive,Easy,Low,Internal,Daydreaming,Mental,Low,Bored,High,7.0,Just Ate,Office,Loud,Dim,Comfortable,9,Continued Task,Yes,Major,38,39,Major
78,01-10-2025,21:15,21:19,4,Coding,Creative,Easy,High,External,Phone Ping,Digital,Medium,Anxious,Low,4.0,Hungry,cafe,Quiet,Normal,Hot,10,Coffee,No,None,39,27,Major
79,01-10-2025,11:56,12:01,5,Studying,Repetitive,Hard,High,External,Social Media,Digital,Medium,Neutral,Medium,4.0,Caffeinated,cafe,Moderate,Normal,Cold,8,Continued Task,No,None,9,20,Medium
80,01-10-2025,19:56,20:04,8,Reading,Repetitive,Easy,Medium,External,Social Media,Digital,Low,Anxious,Medium,9.0,Normal,Outdoors,Moderate,Bright,Hot,1,Continued Task,Yes,Major,26,38,Micro
81,01-10-2025,20:23,20:24,1,Writing,Creative,Hard,High,External,Person Talking,Physical,Low,Happy,Medium,6.0,Caffeinated,Office,Quiet,Bright,Hot,6,Coffee,No,Minor,50,40,Medium
82,01-10-2025,11:52,11:59,7,Meeting,Passive,Easy,High,External,Person Talking,Physical,Low,Neutral,Medium,7.0,Just Ate,Home,Loud,Bright,Comfortable,3,Ignored Phone,No,None,60,32,Major
83,01-10-2025,09:34,09:48,14,Reading,Creative,Easy,High,External,Noise,Physical,Medium,Happy,Low,8.0,Caffeinated,Office,Loud,Bright,Cold,3,Ignored Phone,No,None,35,10,Micro
84,01-10-2025,08:10,08:11,1,Reading,Creative,Medium,Medium,Internal,Hunger,Physical,Low,Anxious,Medium,4.0,Just Ate,Outdoors,Moderate,Dim,Comfortable,5,Continued Task,No,None,9,12,Major
85,01-10-2025,13:20,13:26,6,Studying,Passive,Hard,High,External,Phone Ping,Digital,High,Neutral,Low,4.0,Normal,Home,Loud,Normal,Comfortable,8,Coffee,Yes,Major,29,28,Medium
86,01-10-2025,20:30,20:34,4,Writing,Passive,Hard,Medium,External,Noise,Physical,Low,Bored,High,5.0,Caffeinated,Outdoors,Quiet,Normal,Cold,2,Coffee,No,Major,45,40,Major
87,01-10-2025,20:06,20:17,11,Studying,Passive,Hard,Medium,External,Phone Ping,Digital,High,Bored,Low,9.0,Just Ate,cafe,Quiet,Bright,Comfortable,10,Break,No,Major,14,34,Major
88,01-10-2025,11:32,11:43,11,Coding,High-Focus,Easy,Medium,External,Person Talking,Physical,Medium,Neutral,Low,6.0,Hungry,Outdoors,Quiet,Normal,Cold,7,Coffee,Yes,Major,50,30,Micro
89,01-10-2025,15:09,15:19,10,Writing,High-Focus,Medium,High,External,Noise,Physical,High,Anxious,Low,6.0,Normal,Office,Quiet,Bright,Hot,8,Continued Task,No,Major,16,16,Major
90,01-10-2025,15:08,15:17,9,Studying,Passive,Easy,High,External,Person Talking,Physical,High,Bored,High,5.0,Hungry,cafe,Loud,Normal,Cold,5,Break,No,None,53,43,Major
91,01-10-2025,20:04,20:07,3,Studying,Repetitive,Medium,High,External,Noise,Physical,High,Neutral,Medium,4.0,Normal,Home,Moderate,Normal,Cold,3,Break,No,Minor,10,22,Medium
92,01-10-2025,13:54,14:05,11,Meeting,High-Focus,Medium,High,Internal,Hunger,Physical,High,Stressed,Medium,5.0,Hungry,Office,Moderate,Bright,Cold,9,Coffee,No,None,41,50,Medium
93,01-10-2025,08:27,08:42,15,Writing,Repetitive,Medium,Low,Internal,Hunger,Physical,High,Anxious,Low,5.0,Just Ate,Home,Moderate,Normal,Comfortable,5,Break,Yes,None,26,8,Micro
94,01-10-2025,08:54,09:08,14,Meeting,High-Focus,Medium,Low,External,Social Media,Digital,Low,Bored,Low,8.0,Caffeinated,Outdoors,Loud,Dim,Comfortable,3,Coffee,No,None,10,20,Micro
95,01-10-2025,11:53,11:54,1,Reading,High-Focus,Medium,High,Internal,Hunger,Physical,Medium,Neutral,High,8.0,Caffeinated,Home,Loud,Dim,Comfortable,1,Coffee,Yes,None,6,28,Major
96,01-10-2025,18:18,18:20,2,Studying,Creative,Medium,Low,External,Noise,Physical,Medium,Happy,Low,7.0,Normal,Home,Loud,Normal,Comfortable,7,Continued Task,No,Major,20,14,Major
97,01-10-2025,08:13,08:26,13,Meeting,Passive,Easy,Medium,External,Person Talking,Physical,Low,Anxious,High,5.0,Just Ate,Office,Moderate,Normal,Comfortable,8,Break,Yes,Major,39,12,Micro
98,01-10-2025,13:49,14:03,14,Writing,Repetitive,Easy,Low,External,Person Talking,Physical,High,Happy,Low,9.0,Caffeinated,Office,Loud,Bright,Comfortable,8,Continued Task,No,Major,34,31,Micro
99,01-10-2025,11:56,12:09,13,Reading,Creative,Hard,Medium,Internal,Daydreaming,Mental,High,Anxious,High,4.0,Hungry,Office,Quiet,Bright,Cold,8,Coffee,Yes,Major,42,42,Medium
100,01-10-2025,08:37,08:44,7,Studying,Passive,Easy,High,External,Phone Ping,Digital,Low,Neutral,Low,5.0,Normal,cafe,Quiet,Normal,Cold,10,Continued Task,Yes,Minor,48,12,Major
101,01-10-2025,14:02,14:14,12,Meeting,Repetitive,Medium,High,External,Noise,Physical,High,Stressed,Low,7.0,Normal,Office,Quiet,Normal,Cold,9,Break,Yes,Minor,5,35,Micro
102,01-10-2025,18:26,18:30,4,Coding,Passive,Easy,Low,Internal,Hunger,Physical,High,Stressed,Medium,5.0,Hungry,cafe,Loud,Dim,Comfortable,6,Ignored Phone,Yes,None,31,34,Medium
103,01-10-2025,12:59,13:07,8,Studying,High-Focus,Hard,Low,Internal,Hunger,Physical,Low,Happy,High,9.0,Normal,cafe,Quiet,Bright,Cold,4,Break,No,None,31,43,Major
104,01-10-2025,09:42,09:45,3,Studying,Creative,Easy,Medium,External,Phone Ping,Digital,Medium,Neutral,Medium,6.0,Just Ate,Office,Moderate,Dim,Hot,9,Coffee,No,None,36,50,Micro
105,01-10-2025,09:33,09:45,12,Meeting,Passive,Easy,Low,Internal,Daydreaming,Mental,High,Anxious,Low,9.0,Just Ate,Outdoors,Quiet,Bright,Comfortable,1,Coffee,Yes,Minor,26,34,Major
106,01-10-2025,21:52,21:56,4,Meeting,High-Focus,Medium,Medium,External,Person Talking,Physical,High,Stressed,Low,9.0,Caffeinated,Outdoors,Loud,Bright,Hot,7,Ignored Phone,No,Minor,11,8,Major
107,01-10-2025,20:41,20:48,7,Meeting,High-Focus,Medium,Low,External,Phone Ping,Digital,Medium,Neutral,Medium,4.0,Just Ate,Outdoors,Moderate,Normal,Comfortable,5,Music,Yes,None,17,37,Major
108,01-10-2025,14:07,14:11,4,Reading,High-Focus,Medium,Medium,External,Noise,Physical,Low,Anxious,High,7.0,Normal,Outdoors,Quiet,Bright,Comfortable,6,Coffee,No,None,45,12,Major
109,01-10-2025,20:43,20:47,4,Meeting,High-Focus,Hard,Low,External,Person Talking,Physical,Medium,Happy,Low,6.0,Just Ate,cafe,Loud,Dim,Comfortable,5,Break,Yes,Minor,44,7,Major
110,01-10-2025,18:47,18:56,9,Reading,Passive,Easy,High,Internal,Daydreaming,Mental,Medium,Bored,Medium,6.0,Caffeinated,Café,Loud,Normal,Cold,8,Coffee,No,Major,34,40,Major
111,01-10-2025,19:12,19:25,13,Writing,Repetitive,Easy,High,External,Noise,Physical,High,Stressed,Low,8.0,Just Ate,Outdoors,Quiet,Dim,Comfortable,5,Music,No,None,29,34,Micro
112,01-10-2025,10:58,11:07,9,Writing,High-Focus,Medium,Low,Internal,Hunger,Physical,High,Neutral,High,6.0,Normal,Café,Loud,Bright,Comfortable,7,Coffee,Yes,Major,50,48,Micro
113,01-10-2025,18:35,18:36,1,Coding,Creative,Hard,Medium,Internal,Hunger,Physical,Medium,Happy,Medium,8.0,Caffeinated,Café,Moderate,Normal,Hot,9,Coffee,No,Major,49,30,Medium
114,01-10-2025,13:29,13:37,8,Studying,High-Focus,Medium,Medium,External,Noise,Physical,High,Stressed,High,4.0,Caffeinated,Outdoors,Quiet,Normal,Hot,3,Music,Yes,Minor,10,15,Micro
115,01-10-2025,09:10,09:22,12,Meeting,Creative,Easy,Low,External,Person Talking,Physical,Low,Happy,High,6.0,Normal,Office,Quiet,Normal,Cold,5,Coffee,Yes,Major,38,22,Micro
116,01-10-2025,12:18,12:32,14,Writing,Creative,Medium,High,External,Phone Ping,Digital,High,Anxious,Low,5.0,Normal,Outdoors,Quiet,Dim,Hot,1,Ignored Phone,Yes,Minor,30,20,Medium
117,01-10-2025,21:33,21:47,14,Studying,High-Focus,Hard,High,External,Social Media,Digital,Low,Anxious,High,4.0,Just Ate,Office,Loud,Dim,Hot,6,Ignored Phone,No,Minor,50,21,Major
118,01-10-2025,20:43,20:46,3,Reading,High-Focus,Easy,High,External,Phone Ping,Digital,High,Happy,High,7.0,Just Ate,Outdoors,Loud,Normal,Hot,1,Continued Task,Yes,Minor,47,12,Micro
119,01-10-2025,17:28,17:35,7,Studying,Passive,Hard,Medium,External,Phone Ping,Digital,Low,Stressed,High,4.0,Caffeinated,Home,Quiet,Normal,Hot,1,Coffee,No,Major,13,34,Micro
120,01-10-2025,10:45,10:56,11,Coding,Passive,Easy,Medium,External,Noise,Physical,Low,Bored,Medium,8.0,Just Ate,Café,Moderate,Normal,Comfortable,4,Music,No,Major,29,27,Major
121,08-10-2025,18:08,18:19,11,Studying,Repetitive,Medium,High,External,Fatigue,Physical,High,Anxious,Low,7.0,Hungry,Outdoors,Quiet,Bright,Comfortable,2,Break,Yes,None,54,24,Medium
122,08-10-2025,06:04,06:14,10,Reading,Creative,Medium,Medium,Internal,Phone Call,Self-thoughts,High,Neutral,Medium,4.0,Normal,Café,Loud,Normal,Comfortable,5,Continued Task,No,None,35,21,Micro
123,08-10-2025,07:47,07:57,10,Studying,Passive,Hard,High,Internal,Fatigue,Digital,Medium,Stressed,High,5.0,Hungry,Home,Loud,Normal,Hot,9,Coffee,No,None,20,55,Micro
124,08-10-2025,22:37,22:49,12,Meeting,Repetitive,Easy,Low,External,Slack Notification,Physical,Medium,Anxious,Medium,5.0,Caffeinated,Outdoors,Moderate,Bright,Hot,14,Break,Yes,None,30,44,Medium
125,08-10-2025,07:04,07:19,15,Meeting,Creative,Medium,Medium,External,Boredom,Colleague,Medium,Stressed,Low,4.0,Hungry,Outdoors,Quiet,Normal,Cold,11,Music,Yes,None,31,33,Micro
126,08-10-2025,17:05,17:06,1,Meeting,Repetitive,Medium,Low,External,Boredom,Mental,Medium,Anxious,Medium,5.0,Normal,cafe,Moderate,Normal,Cold,7,Music,Yes,Minor,14,19,Major
127,08-10-2025,07:16,07:30,14,Coding,High-Focus,Hard,Medium,Internal,Noise,Noise,Medium,Neutral,High,4.0,Just Ate,Café,Quiet,Normal,Cold,1,Coffee,Yes,None,34,6,Medium
128,08-10-2025,08:30,08:49,19,Meeting,Creative,Medium,Medium,External,Phone Call,Colleague,Medium,Bored,Low,6.0,Just Ate,Home,Loud,Bright,Comfortable,13,Continued Task,Yes,None,18,5,Micro
